type,clock_cycle,thickness tFE,Vdd,T_RISE ,T_FALL ,T_DELAY 
ncfet_inverter,100ps,0nm,0.3,2.410636e-12,2.278608e-12,4.401267e-12
ncfet_inverter,100ps,0nm,0.4,2.254149e-12,2.258426e-12,2.525869e-12
ncfet_inverter,100ps,0nm,0.5,1.891338e-12,1.891455e-12,1.588824e-12
ncfet_inverter,100ps,0nm,0.6,1.771861e-12,1.770314e-12,1.168491e-12
ncfet_inverter,100ps,0nm,0.7,1.934444e-12,1.938007e-12,9.872374e-13
ncfet_inverter,100ps,0nm,0.8,2.255788e-12,2.251625e-12,9.043392e-13
ncfet_inverter,100ps,0nm,0.9,2.569941e-12,2.571766e-12,8.673904e-13
ncfet_inverter,100ps,100nm,0.3,3.273882e-12,3.330444e-12,5.380759e-12
ncfet_inverter,100ps,100nm,0.4,2.997337e-12,2.889398e-12,4.007187e-12
ncfet_inverter,100ps,100nm,0.5,2.76336e-12,2.766939e-12,3.739224e-12
ncfet_inverter,100ps,100nm,0.6,3.043918e-12,3.103345e-12,3.716706e-12
ncfet_inverter,100ps,100nm,0.7,3.45465e-12,3.533351e-12,3.692213e-12
ncfet_inverter,100ps,100nm,0.8,3.821236e-12,3.950799e-12,3.657899e-12
ncfet_inverter,100ps,100nm,0.9,4.128835e-12,4.297084e-12,3.622375e-12
ncfet_inverter,100ps,10nm,0.3,2.532295e-12,2.435924e-12,4.53964e-12
ncfet_inverter,100ps,10nm,0.4,2.418208e-12,2.413064e-12,2.707622e-12
ncfet_inverter,100ps,10nm,0.5,2.026378e-12,2.020644e-12,1.83607e-12
ncfet_inverter,100ps,10nm,0.6,1.913789e-12,1.911159e-12,1.489362e-12
ncfet_inverter,100ps,10nm,0.7,2.095606e-12,2.099192e-12,1.358765e-12
ncfet_inverter,100ps,10nm,0.8,2.413298e-12,2.40384e-12,1.302418e-12
ncfet_inverter,100ps,10nm,0.9,2.722289e-12,2.74635e-12,1.280371e-12
ncfet_inverter,100ps,1nm,0.3,2.427529e-12,2.299916e-12,4.416038e-12
ncfet_inverter,100ps,1nm,0.4,2.280484e-12,2.284534e-12,2.545043e-12
ncfet_inverter,100ps,1nm,0.5,1.90907e-12,1.914905e-12,1.614442e-12
ncfet_inverter,100ps,1nm,0.6,1.785994e-12,1.783282e-12,1.202368e-12
ncfet_inverter,100ps,1nm,0.7,1.955235e-12,1.954388e-12,1.02684e-12
ncfet_inverter,100ps,1nm,0.8,2.276602e-12,2.268035e-12,9.460535e-13
ncfet_inverter,100ps,1nm,0.9,2.584174e-12,2.580991e-12,9.106689e-13
ncfet_inverter,100ps,200nm,0.3,3.883899e-12,4.035993e-12,6.107636e-12
ncfet_inverter,100ps,200nm,0.4,3.36092e-12,3.459222e-12,5.4319e-12
ncfet_inverter,100ps,200nm,0.5,3.678047e-12,3.967274e-12,5.424346e-12
ncfet_inverter,100ps,200nm,0.6,4.165799e-12,4.580976e-12,5.395202e-12
ncfet_inverter,100ps,200nm,0.7,4.645587e-12,5.182078e-12,5.333194e-12
ncfet_inverter,100ps,200nm,0.8,4.96679e-12,5.641507e-12,5.259897e-12
ncfet_inverter,100ps,200nm,0.9,5.240852e-12,6.071998e-12,5.1856e-12
ncfet_inverter,100ps,20nm,0.3,2.640655e-12,2.557244e-12,4.665836e-12
ncfet_inverter,100ps,20nm,0.4,2.520513e-12,2.528767e-12,2.871592e-12
ncfet_inverter,100ps,20nm,0.5,2.121711e-12,2.119997e-12,2.066918e-12
ncfet_inverter,100ps,20nm,0.6,2.024223e-12,2.027109e-12,1.790013e-12
ncfet_inverter,100ps,20nm,0.7,2.264376e-12,2.273565e-12,1.697841e-12
ncfet_inverter,100ps,20nm,0.8,2.57685e-12,2.608278e-12,1.661606e-12
ncfet_inverter,100ps,20nm,0.9,2.912256e-12,2.925834e-12,1.647766e-12
ncfet_inverter,100ps,2nm,0.3,2.448927e-12,2.313218e-12,4.431853e-12
ncfet_inverter,100ps,2nm,0.4,2.292109e-12,2.301112e-12,2.563949e-12
ncfet_inverter,100ps,2nm,0.5,1.92731e-12,1.925516e-12,1.639022e-12
ncfet_inverter,100ps,2nm,0.6,1.798908e-12,1.800734e-12,1.235134e-12
ncfet_inverter,100ps,2nm,0.7,1.967826e-12,1.970388e-12,1.064797e-12
ncfet_inverter,100ps,2nm,0.8,2.292871e-12,2.295814e-12,9.873086e-13
ncfet_inverter,100ps,2nm,0.9,2.590129e-12,2.594989e-12,9.533107e-13
ncfet_inverter,100ps,300nm,0.3,4.539657e-12,4.800044e-12,7.091454e-12
ncfet_inverter,100ps,300nm,0.4,4.402664e-12,4.917873e-12,6.982335e-12
ncfet_inverter,100ps,300nm,0.5,5.026406e-12,5.731123e-12,6.997083e-12
ncfet_inverter,100ps,300nm,0.6,5.627664e-12,6.568136e-12,6.911136e-12
ncfet_inverter,100ps,300nm,0.7,6.06435e-12,7.190665e-12,6.786506e-12
ncfet_inverter,100ps,300nm,0.8,6.396796e-12,7.717561e-12,6.654392e-12
ncfet_inverter,100ps,300nm,0.9,6.615162e-12,8.157985e-12,6.531563e-12
ncfet_inverter,100ps,30nm,0.3,2.747178e-12,2.673306e-12,4.7866e-12
ncfet_inverter,100ps,30nm,0.4,2.628595e-12,2.627235e-12,3.027277e-12
ncfet_inverter,100ps,30nm,0.5,2.190659e-12,2.196444e-12,2.289578e-12
ncfet_inverter,100ps,30nm,0.6,2.155078e-12,2.156949e-12,2.075723e-12
ncfet_inverter,100ps,30nm,0.7,2.421492e-12,2.440328e-12,2.011751e-12
ncfet_inverter,100ps,30nm,0.8,2.773004e-12,2.797651e-12,1.984864e-12
ncfet_inverter,100ps,30nm,0.9,3.100472e-12,3.139238e-12,1.974701e-12
ncfet_inverter,100ps,3nm,0.3,2.460381e-12,2.328365e-12,4.446162e-12
ncfet_inverter,100ps,3nm,0.4,2.314088e-12,2.317006e-12,2.582611e-12
ncfet_inverter,100ps,3nm,0.5,1.944707e-12,1.939455e-12,1.664456e-12
ncfet_inverter,100ps,3nm,0.6,1.807934e-12,1.814472e-12,1.26791e-12
ncfet_inverter,100ps,3nm,0.7,1.97382e-12,1.985566e-12,1.102813e-12
ncfet_inverter,100ps,3nm,0.8,2.29581e-12,2.295252e-12,1.027705e-12
ncfet_inverter,100ps,3nm,0.9,2.61257e-12,2.620952e-12,9.962477e-13
ncfet_inverter,100ps,400nm,0.3,5.590952e-12,6.111966e-12,8.532927e-12
ncfet_inverter,100ps,400nm,0.4,5.983646e-12,6.878772e-12,8.676216e-12
ncfet_inverter,100ps,400nm,0.5,6.790268e-12,7.945091e-12,8.6162e-12
ncfet_inverter,100ps,400nm,0.6,7.315764e-12,8.790895e-12,8.444503e-12
ncfet_inverter,100ps,400nm,0.7,7.741632e-12,9.447544e-12,8.246549e-12
ncfet_inverter,100ps,400nm,0.8,7.980989e-12,9.986948e-12,8.054987e-12
ncfet_inverter,100ps,400nm,0.9,8.179495e-12,1.04924e-11,7.883594e-12
ncfet_inverter,100ps,40nm,0.3,2.828557e-12,2.786049e-12,4.890522e-12
