gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
buffer,0.3,0.1,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.1,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.1,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.1,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.1,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.1,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.1,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.2,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.2,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.2,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.2,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.2,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.2,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.2,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.3,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.3,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.3,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.3,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.3,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.3,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.3,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.4,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.4,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.4,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.4,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.4,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.4,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.4,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.5,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.5,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.5,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.5,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.5,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.5,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.5,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.6,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.6,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.6,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.6,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.6,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.6,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.6,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.7,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.7,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.7,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.7,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.7,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.7,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.7,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.8,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.8,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.8,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.8,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.8,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.8,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.8,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,0.9,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,0.9,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,0.9,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,0.9,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,0.9,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,0.9,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,0.9,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,1,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,1,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,1,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,1,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,1,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,1,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,1,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,2,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,2,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,2,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,2,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,2,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,2,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,2,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,3,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,3,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,3,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,3,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,3,100,5.900118e-13,1.28435e-12,5.955801e-12
buffer,0.8,3,100,6.787998e-13,1.28595e-12,5.943961e-12
buffer,0.9,3,100,8.021694e-13,1.296293e-12,5.956765e-12
buffer,0.3,4,100,3.131324e-12,3.17279e-12,9.921646e-12
buffer,0.4,4,100,8.473565e-13,1.456597e-12,7.269524e-12
buffer,0.5,4,100,5.938628e-13,1.375314e-12,6.446369e-12
buffer,0.6,4,100,5.413394e-13,1.283254e-12,6.067873e-12
buffer,0.7,4,100,5.900118e-13,1.28435e-12,5.955801e-12
